EmployeeID,DepartmentCode,JobLevel,ManagerID,YearsAtCompany,MonthlyHoursWorked,ProjectsCompleted,TrainingHoursCompleted,PerformanceScore,AbsenceDays,OvertimeHours,SalaryBand,EngagementScore
5371,5,1,13,7.5,137,5,2.0,4.8,18,3.6,2,1.0
5520,1,2,15,13.9,161,12,45.0,4.4,13,2.9,2,1.0
5537,3,1,5,8.7,155,15,54.0,2.8,18,11.7,2,4.0
5527,1,1,2,7.3,163,7,18.0,1.9,14,20.5,8,1.0
5446,6,5,5,0.6,191,6,35.0,3.9,25,26.5,8,5.0
5284,4,2,16,12.9,146,8,11.0,,20,36.4,7,8.0
5074,5,1,1,4.7,181,8,48.0,2.7,3,34.2,6,3.0
5119,1,1,3,10.4,144,1,26.0,3.9,14,22.5,7,3.0
5485,3,1,11,7.7,146,16,49.0,2.0,6,31.1,7,9.0
5480,3,5,2,0.0,151,16,40.0,3.8,21,23.4,2,9.0
5410,5,5,7,8.8,171,18,10.0,1.7,1,18.6,2,3.0
5299,4,5,14,12.2,154,14,19.0,2.1,24,34.2,7,6.0
5312,5,5,14,2.2,147,12,24.0,1.4,5,1.9,7,10.0
5194,2,2,10,14.0,146,15,8.0,1.2,25,29.2,2,4.0
5468,2,5,9,12.5,188,9,54.0,3.7,21,30.9,5,5.0
5283,5,5,2,13.6,169,15,19.0,2.6,9,14.5,3,8.0
5024,5,5,3,13.2,146,7,32.0,3.2,24,18.0,6,4.0
5475,2,4,12,4.2,182,10,52.0,4.3,25,6.4,2,2.0
5492,1,5,17,3.0,185,8,0.0,1.5,8,27.2,8,1.0
5060,1,5,12,13.7,124,7,58.0,2.9,12,16.9,1,8.0
5407,2,5,15,13.6,140,16,34.0,2.7,11,26.6,1,2.0
5176,3,4,4,11.2,136,9,9.0,4.4,22,31.7,1,8.0
5465,5,2,18,10.5,158,1,21.0,1.4,23,37.5,1,6.0
5196,3,4,13,2.5,127,2,60.0,3.9,15,12.6,4,10.0
5376,3,3,8,3.5,191,13,44.0,3.4,7,4.4,6,10.0
5142,5,3,11,2.4,187,20,38.0,,16,17.3,1,9.0
5523,6,4,4,6.5,150,11,12.0,4.8,12,20.0,3,6.0
5023,2,5,1,8.0,134,9,24.0,1.8,14,37.5,6,6.0
5267,1,5,2,6.9,157,1,45.0,2.2,2,7.5,7,7.0
5354,2,1,8,13.2,158,1,28.0,3.3,14,31.5,5,4.0
5202,5,3,1,9.7,133,17,15.0,4.7,13,39.5,3,1.0
5274,3,3,5,2.9,199,11,30.0,1.4,4,8.9,7,4.0
5531,3,2,12,5.1,125,9,60.0,2.8,11,7.8,3,3.0
5491,5,2,3,6.9,145,3,46.0,1.2,15,22.3,4,2.0
5385,4,1,20,5.7,137,15,41.0,1.3,13,36.8,4,2.0
5335,3,3,12,1.8,121,6,27.0,2.4,11,6.4,7,7.0
5139,2,4,20,5.7,185,9,24.0,1.2,8,20.3,6,3.0
5457,4,3,3,11.1,142,19,30.0,1.1,9,18.3,6,6.0
5091,4,2,6,1.3,200,15,22.0,3.4,18,32.9,7,8.0
5185,6,4,1,11.7,172,6,7.0,1.4,17,25.8,1,3.0
5204,6,1,15,7.3,168,5,6.0,2.1,10,14.2,8,2.0
5511,3,1,9,3.1,180,20,6.0,2.9,5,20.2,5,1.0
5438,6,4,20,10.0,191,1,51.0,2.4,6,22.9,1,3.0
5078,2,1,20,14.3,176,14,23.0,3.9,3,36.9,5,2.0
5199,6,1,19,4.8,199,3,46.0,2.2,8,26.0,4,3.0
5064,1,2,12,9.7,193,7,30.0,4.7,20,33.2,4,8.0
5191,3,5,15,4.0,197,15,26.0,5.0,20,33.2,5,5.0
5323,1,4,3,3.0,171,13,5.0,4.7,12,38.5,6,3.0
5003,2,5,3,6.1,166,14,32.0,2.5,15,15.5,1,3.0
5290,2,3,13,13.3,194,17,56.0,4.6,6,27.0,6,1.0
5435,1,1,11,0.3,176,4,24.0,3.6,3,12.3,4,4.0
5085,4,4,20,10.0,140,4,55.0,4.8,3,22.7,2,4.0
5398,3,2,17,9.0,129,15,37.0,4.7,14,15.3,4,1.0
5007,3,2,20,14.4,187,15,1.0,4.8,11,31.8,6,7.0
5131,3,4,12,1.3,126,3,32.0,4.9,20,34.6,2,4.0
5277,4,1,16,8.6,191,19,2.0,4.5,17,17.3,4,1.0
5332,5,1,20,10.9,999,18,55.0,1.6,6,38.7,3,9.0
5396,6,5,2,3.5,169,9,57.0,2.2,17,9.7,1,8.0
5071,6,4,16,1.1,198,12,10.0,3.5,2,17.7,2,7.0
5130,4,3,14,14.3,138,19,30.0,1.1,7,26.8,4,6.0
5522,6,3,7,2.9,190,6,39.0,4.3,7,3.3,7,8.0
5043,5,1,11,0.6,123,5,20.0,3.3,17,9.3,3,10.0
5081,6,2,14,8.5,184,15,58.0,1.1,17,4.9,4,10.0
5300,2,2,16,14.2,196,19,54.0,2.0,6,28.3,5,1.0
5203,6,4,18,7.2,188,17,32.0,1.7,7,28.8,1,5.0
5427,3,5,12,2.0,200,10,34.0,1.2,11,12.4,1,6.0
5109,2,3,15,2.8,128,14,45.0,4.1,19,8.8,2,9.0
5036,3,4,16,1.7,176,7,3.0,2.5,13,20.5,2,4.0
5378,3,5,7,13.0,165,8,4.0,2.1,23,33.0,6,4.0
5276,3,4,15,6.8,179,1,49.0,1.4,17,13.3,7,5.0
5110,3,2,16,11.1,171,13,55.0,1.5,5,28.5,2,4.0
5432,6,5,15,1.3,178,9,16.0,4.3,25,26.4,4,8.0
5319,3,5,3,8.6,126,12,30.0,4.8,11,39.3,3,6.0
5129,1,3,4,13.1,182,20,31.0,4.6,10,22.5,6,9.0
5388,4,1,16,11.6,135,20,51.0,3.6,8,0.6,8,1.0
5093,2,4,5,10.4,141,17,4.0,2.1,5,37.4,1,8.0
5231,5,4,4,0.4,130,0,27.0,2.7,18,24.8,6,3.0
5021,1,2,6,5.4,165,1,10.0,1.1,15,11.0,7,1.0
5236,1,1,5,1.9,131,11,49.0,3.8,13,26.0,1,8.0
5122,5,5,3,2.2,152,18,17.0,1.8,15,29.7,3,9.0
5222,5,4,13,8.9,196,13,33.0,3.6,13,26.5,6,5.0
5192,3,4,19,4.1,191,1,50.0,5.0,8,8.1,5,6.0
5041,6,4,12,13.1,157,13,49.0,2.6,23,22.2,5,1.0
5395,1,5,9,3.1,142,4,,3.4,7,37.5,4,3.0
5546,6,1,11,7.6,133,8,24.0,3.0,25,18.3,1,6.0
5549,5,1,5,2.3,171,15,16.0,3.3,25,26.1,7,3.0
5403,1,2,1,13.0,168,3,59.0,4.8,13,36.1,4,8.0
5104,5,3,8,1.8,187,10,12.0,2.7,16,34.5,1,10.0
5343,4,4,9,12.6,178,9,19.0,3.9,5,8.2,7,5.0
5508,3,5,4,3.7,160,9,34.0,3.2,17,11.9,1,2.0
5061,5,4,11,4.7,179,2,37.0,4.4,20,27.5,5,5.0
5530,2,2,7,14.4,139,16,34.0,3.1,15,13.9,2,3.0
5402,6,4,16,2.9,185,18,28.0,2.6,11,37.2,6,5.0
5026,3,2,7,6.5,168,7,31.0,2.9,1,21.5,8,1.0
5298,5,1,6,5.4,141,20,31.0,1.4,4,20.1,7,9.0
5359,3,5,7,1.3,184,11,57.0,1.7,14,12.5,3,1.0
5389,2,5,12,9.6,130,8,58.0,3.9,19,22.4,4,4.0
5271,3,4,4,10.4,163,20,27.0,1.4,10,38.3,5,5.0
5459,6,1,8,9.4,159,11,7.0,4.9,11,15.7,4,7.0
5280,2,2,5,6.8,180,10,22.0,1.5,6,34.7,2,3.0
5168,6,4,18,8.9,166,19,29.0,2.8,-11,17.9,3,5.0
5246,1,5,7,10.6,159,17,9.0,2.6,-19,13.5,5,9.0
5045,4,4,3,10.7,143,5,46.0,3.5,1,35.2,8,9.0
5058,2,2,16,8.2,129,6,23.0,3.5,16,21.9,7,2.0
5054,4,3,2,1.8,146,20,32.0,4.3,3,4.5,6,2.0
5240,6,4,1,13.0,131,15,19.0,1.5,16,14.5,5,10.0
5094,1,1,20,7.5,148,3,44.0,2.9,5,8.0,7,10.0
5401,3,2,4,5.3,179,9,59.0,4.6,11,16.0,5,8.0
5068,3,4,8,10.9,164,14,11.0,4.9,13,14.3,8,9.0
5009,6,4,13,11.8,129,3,41.0,2.1,9,21.5,6,8.0
5279,2,4,15,7.4,168,14,24.0,2.6,18,22.2,7,6.0
5116,4,4,14,0.8,177,5,57.0,1.3,8,31.3,8,10.0
5200,1,1,5,3.5,121,1,60.0,2.3,11,7.9,2,4.0
5057,3,3,16,10.3,123,20,5.0,4.9,2,26.6,8,6.0
5474,3,2,11,3.1,148,8,33.0,3.7,13,16.9,3,5.0
5318,2,3,4,13.2,150,19,13.0,1.9,16,22.7,1,2.0
5181,5,3,1,2.8,128,4,22.0,2.3,24,27.9,2,4.0
5368,1,5,5,14.5,120,8,25.0,2.3,-22,38.6,6,7.0
5433,3,4,14,0.9,166,8,41.0,4.2,21,8.8,3,1.0
5097,5,3,6,11.6,168,2,60.0,4.1,4,5.4,6,3.0
5442,1,3,19,10.6,197,8,29.0,4.1,12,1.0,4,9.0
5301,4,2,1,9.0,139,9,17.0,4.5,0,19.6,8,6.0
5107,6,5,17,2.1,159,2,34.0,4.9,16,34.5,8,3.0
5311,1,2,6,4.2,185,1,46.0,1.2,10,12.8,7,8.0
5187,1,5,19,10.9,120,1,42.0,2.0,5,11.4,6,2.0
5305,1,4,16,7.0,147,5,3.0,1.7,18,35.4,1,2.0
5265,1,1,6,3.8,162,1,7.0,4.4,21,37.0,7,5.0
5166,1,4,7,9.5,120,4,29.0,4.6,16,20.8,5,10.0
5153,3,4,2,12.8,168,11,23.0,4.1,2,1.7,1,9.0
5072,1,1,10,8.5,164,4,49.0,1.8,24,24.9,2,3.0
5042,6,3,3,12.7,137,16,22.0,3.6,20,14.1,3,5.0
5309,1,2,18,4.0,150,8,30.0,2.1,25,28.4,6,9.0
5281,3,4,11,7.7,148,17,31.0,1.1,14,24.2,6,10.0
5106,5,4,8,11.3,171,18,32.0,2.3,3,6.7,5,6.0
5504,4,5,12,12.8,999,15,12.0,2.9,7,23.4,2,10.0
5514,6,5,11,13.8,163,13,27.0,2.6,11,6.4,6,10.0
5503,3,3,2,3.0,177,16,42.0,3.6,7,39.9,8,6.0
5149,1,2,4,9.9,190,0,2.0,2.6,0,19.9,4,8.0
5286,6,5,17,4.5,185,16,34.0,3.9,17,14.4,7,3.0
5212,6,3,16,3.4,185,14,7.0,1.4,25,30.4,5,5.0
5440,4,4,3,8.8,161,12,18.0,1.1,2,26.3,6,7.0
5328,4,5,7,5.2,191,15,32.0,4.7,4,17.3,7,2.0
5320,6,5,1,3.9,141,8,28.0,4.3,19,35.0,5,5.0
5159,2,5,17,13.4,129,18,46.0,4.5,3,15.4,5,9.0
5289,2,4,6,15.0,148,19,18.0,2.8,24,0.4,1,6.0
5126,2,4,15,2.6,169,8,41.0,1.8,2,9.8,7,10.0
5197,3,2,9,2.9,183,12,50.0,2.3,5,19.3,7,8.0
5105,1,1,2,13.9,178,18,34.0,1.1,5,13.7,5,6.0
5479,2,5,6,10.7,122,15,60.0,4.1,9,24.0,8,1.0
5487,3,4,15,2.9,198,0,7.0,1.3,21,29.1,4,7.0
5113,6,2,10,11.5,178,20,57.0,5.0,23,0.3,2,2.0
5010,1,5,8,10.7,127,0,24.0,2.9,2,15.9,3,5.0
5499,1,4,1,1.1,189,14,17.0,4.2,7,2.1,1,5.0
5047,5,3,11,9.6,148,9,4.0,4.7,4,6.4,7,9.0
5408,1,1,14,0.1,138,14,21.0,2.4,-3,11.8,5,10.0
5169,2,2,8,3.0,158,14,40.0,4.9,16,24.5,3,8.0
5336,4,3,19,5.2,148,15,42.0,3.5,14,4.5,8,5.0
5262,6,5,15,10.6,175,4,26.0,3.7,21,14.8,8,8.0
5004,2,5,12,9.1,191,19,7.0,1.7,5,25.1,6,10.0
5048,1,2,9,13.3,178,10,30.0,2.2,7,26.3,8,4.0
5324,3,3,16,1.7,184,17,60.0,2.2,25,28.6,8,2.0
5524,3,3,17,13.8,122,11,10.0,,22,13.1,2,10.0
5033,5,1,18,2.5,134,20,25.0,1.5,3,8.1,4,1.0
5296,1,5,4,10.3,135,14,8.0,4.6,19,13.2,6,8.0
5198,3,1,8,11.7,174,9,40.0,4.4,4,27.8,3,8.0
5315,3,2,3,13.8,157,13,22.0,2.3,22,5.9,4,6.0
5345,5,1,15,2.5,199,8,42.0,4.8,9,38.1,7,1.0
5226,1,2,14,12.0,129,8,30.0,4.8,15,16.9,3,4.0
5420,4,2,20,2.9,192,3,19.0,3.6,2,393.0,1,5.0
5046,6,1,3,14.8,186,4,46.0,3.5,20,35.5,8,10.0
5077,3,2,7,6.5,139,13,38.0,2.7,20,34.8,5,7.0
5132,3,5,7,7.4,143,10,2.0,2.7,1,2.6,6,2.0
5183,4,4,7,13.1,175,20,37.0,1.0,11,23.9,5,10.0
5164,4,1,6,12.1,140,20,16.0,1.9,25,15.7,1,1.0
5481,1,1,12,12.2,182,0,13.0,2.9,0,9.3,7,6.0
5000,2,4,17,10.3,156,15,53.0,1.9,25,19.0,3,
5270,4,4,3,4.4,189,6,45.0,4.9,23,39.7,1,7.0
5384,5,1,17,3.0,149,14,38.0,2.9,11,3.3,2,8.0
5363,6,3,18,7.2,143,12,25.0,4.3,24,33.1,6,10.0
5364,3,1,15,7.2,127,19,23.0,3.8,4,17.0,1,4.0
5278,4,1,6,7.9,200,9,23.0,3.3,4,33.1,2,6.0
5260,5,1,7,3.1,134,11,32.0,1.2,10,35.4,7,8.0
5447,2,4,16,2.0,153,3,56.0,2.8,9,38.1,6,7.0
5333,3,1,9,6.4,152,3,22.0,3.5,13,35.6,6,1.0
5186,5,3,4,10.2,177,6,13.0,1.0,22,20.8,2,6.0
5405,6,2,11,6.4,139,20,28.0,2.8,10,38.6,2,8.0
5449,6,3,7,6.2,146,3,28.0,2.7,14,18.2,4,5.0
5239,6,5,9,13.5,167,9,31.0,4.2,18,20.9,1,9.0
5430,1,5,8,0.5,120,8,20.0,2.2,15,35.4,1,9.0
5370,5,5,9,12.5,177,3,7.0,3.3,19,34.1,2,10.0
5510,2,3,3,12.7,190,20,56.0,4.3,21,20.5,5,5.0
5472,1,1,19,8.1,150,17,42.0,3.3,15,17.6,6,4.0
5436,3,5,12,11.4,189,5,30.0,3.8,9,14.1,2,3.0
5496,1,1,2,9.2,135,7,9.0,2.1,8,28.8,3,7.0
5372,1,4,12,1.0,155,8,24.0,2.0,25,15.1,6,8.0
5075,3,3,5,1.9,170,3,9.0,2.4,6,5.7,3,8.0
5413,1,4,6,10.8,133,15,31.0,2.2,0,26.9,1,6.0
5421,3,3,4,14.2,121,1,16.0,1.3,0,33.0,7,1.0
5038,6,5,10,13.5,143,11,30.0,1.6,11,35.7,3,2.0
5390,6,1,5,6.9,999,4,22.0,4.7,18,29.7,3,2.0
5220,2,5,10,6.6,136,4,41.0,2.1,12,12.3,6,4.0
5316,5,3,14,8.9,124,2,58.0,2.9,23,8.3,8,4.0
5141,3,5,14,9.0,125,2,47.0,3.2,25,18.5,1,1.0
5165,4,5,18,3.8,122,3,2.0,4.4,15,3.5,1,9.0
5190,2,4,7,14.0,157,15,36.0,1.5,7,2.0,6,10.0
5030,6,5,4,5.5,144,4,18.0,1.2,22,33.0,1,10.0
5039,2,4,4,0.4,193,8,58.0,2.1,25,39.4,4,1.0
5344,1,5,10,13.2,160,10,47.0,2.1,2,34.2,4,3.0
5498,3,2,15,7.9,166,9,3.0,3.4,22,19.3,4,9.0
5488,1,4,19,4.1,125,13,23.0,3.2,7,32.1,4,2.0
5538,1,1,17,6.1,135,11,35.0,4.4,5,37.3,7,2.0
5232,1,5,13,7.1,130,0,15.0,2.6,3,27.5,6,4.0
5409,3,3,13,10.5,162,10,37.0,2.2,24,31.2,2,9.0
5326,1,4,17,13.9,176,20,42.0,3.9,19,27.4,2,5.0
5454,5,2,5,3.1,177,17,46.0,4.6,18,24.7,2,10.0
5123,1,5,3,8.2,157,19,32.0,1.8,21,22.7,8,4.0
5205,4,3,18,8.4,198,17,23.0,1.6,16,33.0,6,5.0
5171,1,2,20,8.9,126,9,33.0,3.1,8,35.5,7,5.0
5193,5,2,10,6.4,160,0,33.0,2.3,2,17.9,4,6.0
5415,3,3,18,0.1,169,4,34.0,2.4,23,29.2,7,1.0
5167,6,2,10,0.6,191,18,,1.1,23,30.8,6,6.0
5234,3,1,16,11.5,160,13,15.0,2.4,20,33.9,5,1.0
5350,3,3,11,14.4,999,19,21.0,2.9,0,2.4,4,10.0
5195,4,1,17,9.7,168,13,11.0,2.6,16,38.7,4,8.0
5206,3,5,11,10.4,999,6,,1.6,17,20.7,8,4.0
5188,6,2,19,6.8,146,15,14.0,3.6,11,16.8,4,2.0
5079,5,3,7,14.1,179,3,35.0,4.3,16,20.5,2,5.0
5416,1,1,14,3.1,166,9,8.0,3.9,23,24.3,5,6.0
5037,2,1,1,6.4,145,5,2.0,1.9,5,34.7,6,4.0
5353,3,3,10,2.5,121,1,18.0,,20,29.6,2,7.0
5067,5,5,14,0.6,181,3,60.0,3.2,16,17.1,5,
5066,2,5,15,0.1,197,1,36.0,1.1,14,6.3,7,9.0
5428,4,2,6,8.5,175,6,27.0,2.5,23,8.6,4,7.0
5178,2,5,18,5.1,125,12,31.0,4.7,17,16.4,8,7.0
5102,3,4,9,0.5,149,17,40.0,1.4,10,26.4,7,5.0
5095,1,1,14,7.5,121,1,27.0,2.2,17,38.8,3,10.0
5444,1,2,10,10.3,129,8,28.0,3.0,2,14.2,8,10.0
5055,6,4,4,0.8,187,18,16.0,1.6,16,19.9,6,8.0
5337,4,4,18,12.1,195,13,10.0,2.9,17,15.6,6,5.0
5489,4,2,2,5.5,184,11,12.0,5.0,11,35.1,5,6.0
5082,5,4,1,2.7,167,1,37.0,1.2,20,0.3,3,3.0
5321,4,4,4,8.0,132,0,12.0,3.2,4,26.4,8,9.0
5494,4,3,5,13.9,155,14,46.0,4.2,7,0.5,7,1.0
5121,1,5,14,6.3,169,7,53.0,2.5,11,3.3,5,10.0
5519,2,3,20,14.7,158,12,54.0,4.9,14,29.0,6,8.0
5425,5,4,1,3.5,194,20,32.0,1.0,7,34.4,3,1.0
5525,4,4,4,9.6,183,10,3.0,1.6,12,12.8,1,10.0
5391,1,2,11,6.1,198,19,,1.6,8,1.1,2,6.0
5015,1,2,20,4.7,159,12,45.0,1.6,17,7.0,5,7.0
5147,1,5,7,6.8,157,15,20.0,1.8,6,31.6,7,10.0
5209,3,3,15,0.9,147,17,3.0,1.5,19,1.5,3,6.0
5112,4,2,4,1.9,177,8,23.0,1.9,10,6.0,8,7.0
5179,6,4,11,0.7,181,18,3.0,4.4,4,3.5,4,2.0
5177,3,1,10,5.7,167,1,57.0,3.1,2,34.1,6,7.0
